Account ID,Org Name,Supply ID,D-EH9 Type of resource consent,D-EH9 Comments,D-EH10 Resource consent reference number,D-EH11 Expiry date for resource consent,D-EH11 Comments,D-EH11 Currently operating under this consent?,D-EH11 Consent status,D-EH16 Reason consent conditions not met,D-EH16 Reason detail,D-EH9 to D-EH16 Data confidence
ACC-00008585,Ashburton District Council,ASH003,Water take,,CRC050225.1,2039-11-23 00:00:00,,Yes,Active,,Exceeded volume,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,Land use,,CRC050615,2039-11-23 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,Water take,,CRC051262.1,2039-11-26 00:00:00,,Yes,Active,,Exceeded volume,4 - Reliable
ACC-00008585,Ashburton District Council,ASH003,Water take,,CRC980747.1,2032-12-03 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,CHE002,Water take,,CRC991612,2034-04-04 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,DRO001,Water take,,CRC170019,2051-07-29 00:00:00,,Yes,Active,,Exceeded volume,4 - Reliable
ACC-00008585,Ashburton District Council,HAK001,Water take,,CRC991485,2034-04-07 00:00:00,,Yes,Active,,Exceeded flow rate,4 - Reliable
ACC-00008585,Ashburton District Council,HIN001,Water take,,CRC041517,2039-02-18 00:00:00,,Yes,Active,,Exceeded flow rate,4 - Reliable
ACC-00008585,Ashburton District Council,MAY001,Water take,,CRC120547,2045-05-17 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,Water take,,CRC002108,2041-01-30 00:00:00,,Yes,Active,,Exceeded flow rate,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,Water take,,CRC011923,2037-08-08 00:00:00,,Yes,Active,,Exceeded flow rate,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,Land use,,CRC231922,2058-03-15 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,Discharge to land,,CRC231924,2058-03-15 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MON001,Water take,,CRC052628,2045-08-04 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MON001,Land use,,CRC951154,2030-08-16 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MTS001,Water take,,CRC022026,2037-07-15 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MTS001,Discharge to land,,CRC231934,2058-03-20 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,MTS001,Land use,,CRC231936,2028-03-13 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008585,Ashburton District Council,RAK001,Water take,,CRC244450,2044-04-29 00:00:00,,Yes,Active,,,4 - Reliable
ACC-00008580,Auckland Council,AWH300,Water take,,46116,2045-12-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,MAH003,Water take,,43408,2029-05-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,MAR007,Water take,,REG-6464,2030-05-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,PIH300,Water take,,35768,2029-05-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,SHA002,Water take,,WAT60353048,2026-05-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,TAP007,Water take,,40923,2027-05-31 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,TAW001,Water take,,WAT60382059,1943-06-30 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,WAI222,Water take,,136167.01.01,1946-11-04 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008580,Auckland Council,WHA018,Water take,,WAT60409617,1943-06-30 00:00:00,,Yes,Operating under s124 RMA,,,5 - Highly Reliable
ACC-00008498,Buller District Council,INA002,Water take,Inangahua,RC-2019-0021,2044-03-19 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,LIT003,Water take,Little Wanganui,RC96064/1,2038-09-03 00:00:00,,Yes,Active,Flow meter to be installed with the landowner’s consent.,Flow not recorded,5 - Highly Reliable
ACC-00008498,Buller District Council,LIT003,Land use,Little Wanganui,RC96064/2,2038-09-03 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,Water take,Dam Un-Named Creek,RC01283/1,2037-06-26 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,Water take,Mokihinui,RC01283/2,2037-06-26 00:00:00,,Yes,Active,Flow meter to be installed with land owner's consent.,Flow not recorded,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,Land use,Mokihinui,RC01283/4,2037-06-26 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,MOK001,Water take,Mokihinui,RC01283/5,2037-06-26 00:00:00,,Yes,Active,"Flow meter installed, telemetry to be set up.",Flow not recorded,5 - Highly Reliable
ACC-00008498,Buller District Council,PUN001,Water take,Punakaiki,RC06183/1,2045-07-01 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,REE001,Water take,Reefton,RC01282/1,2036-12-06 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Land use,Waimangaroa,RC-2022-0010-01,2027-04-21 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Land use,Waimangaroa,RC-2022-0010-02,2057-04-21 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Water take,Waimangaroa,RC-2022-0010-03,2057-04-21 00:00:00,,Yes,Active,Flowmeter installed further downstream,Flow not recorded,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Discharge to water,Waimangaroa,RC-2022-0010-04,2027-04-21 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Water take,Waimangaroa,RC01281/1,2037-06-26 00:00:00,,Yes,Active,Flowmeter installed further downstream,Flow not recorded,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Discharge to water,Waimangaroa,RC01281/2,2037-06-26 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Land use,Waimangaroa,RC01281/3,2037-06-26 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WAI001,Water take,Waimangaroa,RC01281/4,2037-06-26 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Land use,Giles' Creek North and South branches,RC-2023-0148-01,2040-06-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Land use,Giles' Creek North and South branches,RC-2023-0148-02,2040-06-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Water take,Giles' Creek North and South branches,RC-2023-0148-03,2040-06-30 00:00:00,,Yes,Active,,,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Water take,Giles' Creek North and South branches,RC-2023-0148-04,2040-06-30 00:00:00,,Yes,Active,,Exceeded volume,5 - Highly Reliable
ACC-00008498,Buller District Council,WES001,Land use,Orowaiti tributary at Keoghans,RC05233/1,2041-04-26 00:00:00,,No,,,,5 - Highly Reliable
