Account ID,Org Name,Supply ID,Supply name,D-A5 Length of pipe in network (km),D-A5 Reason not available,D-A6 Number of drinking water abstraction points,D-A6 Reason not available,D-A7 Main drinking water network source type,D-A7 Comments,D-EH1.1 Number of residential connections,D-EH1.1 Reason not available,D-EH1.1 Method of determining connections,D-EH1.1 Comments,D-EH1.2 Number of residential units,D-EH1.2 Reason not available,D-EH1.2 Method of determining units,D-EH1.2 Comments,D-EH2.1 Number of non-residential connections,D-EH2.1 Reason not available,D-EH2.1 Method of determining connections,D-EH2.1 Comments,D-EH2.2 Number of non-residential units,D-EH2.2 Reason not available,D-EH2.2 Method of determining units,D-EH2.2 Comments,D-EH3 Total population served,D-EH3 Reason not available,D-A5 to D-EH3 Data confidence,D-EH4 Total volume of water supplied to network (m3/year),D-EH4 Reason not available,D-EH7 Volume of non-residential water use (m3/year),D-EH7 Reason not available,D-EH4 and D-EH7 Data confidence,D-EH8 Number of resource consents held,D-EH8 Reason not available,D-EH8 Data confidence,D-EH17 Amount of sludge produced (tonnes/year),D-EH17 Reason not available,D-EH20.1 Disposal route for sludge,D-EH20.1 Comments,D-EH20.1 Reason not available,D-EH18 Amount of backwash water used (m3/year),D-EH18 Reason not available,D-EH20.2 Disposal route for backwash water,D-EH20.2 Comments,D-EH20.2 Reason not available,D-EH19 Amount of screenings removed (tonnes/year),D-EH19 Reason not available,D-EH20.3 Disposal route for screenings,D-EH20.3 Comments,D-EH20.3 Reason not available,D-EH17 to D-EH20.3 Data confidence,D-EH21 Fish passage impeded assessment,D-EH21 Comments,D-EH22 Processes to prevent fish ingress,D-EH22 Comments,D-EH21 to D-EH22 Data confidence,D-R15 Average system pressure (kPa),D-R15 Reason not available,D-R16 Reference level for water pressure set?,D-R17 Reference level for water pressure (kPa),D-R17 Reason not available,D-R18 Number of properties below reference pressure level,D-R18 Reason not available,D-R15 to D-R18 Data confidence,D-RE1 Total drinking water loss across network (m3/year),D-RE1 Includes private water loss?,D-RE1 Reason not available,D-RE2.1 Current annual real loss - CARL (m3/year),D-RE2.1 Reason not available,D-RE2.2 Unavoidable annual real losses - UARL (m3/year),D-RE2.2 Reason not available,D-RE3 Infrastructure leakage index - ILI,D-RE1 to D-RE3 Data confidence,D-RE4 Median residential water consumption (L/connection/day),D-RE4 Reason not available,D-RE4 Data confidence
ACC-00008585,Ashburton District Council,ASH003,Ashburton,242,,8,,Bore,,9734,,Other (Please identify in the comments section),Rates - total charges/SUIDs,9558,,Other (Please identify in the comments section),Unbilled plus billed rural residential connections,877,,Number of connections known,,877,,Number of metered connections,,20450,,4 - Reliable,5413672,,516789,,4 - Reliable,3,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,400,,Yes,250,,,Data Not Available,2 - Uncertain,2192000,No,,2175000,,177340,,12.26,3 - Less Reliable,607,,3 - Less Reliable
ACC-00008585,Ashburton District Council,CHE002,Chertsey,10,,1,,Bore,,89,,Other (Please identify in the comments section),Rates - total charges/SUIDs,89,,Other (Please identify in the comments section),Unbilled plus billed rural residential connections,0,,Number of connections known,,0,,Number of metered connections,,210,,4 - Reliable,36316,,0,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,340,,Yes,250,,,Data Not Available,2 - Uncertain,7665,Yes,,,Data Not Available,3504,,2.5,3 - Less Reliable,590,,3 - Less Reliable
ACC-00008585,Ashburton District Council,DRO001,Dromore,24,,1,,Bore,,35,,Other (Please identify in the comments section),Rates - total charges/SUIDs,35,,Other (Please identify in the comments section),Same as connections,0,,Number of connections known,,0,,Other (Please identify in the comments section),Same as connections,100,,4 - Reliable,67646,,0,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,250,,Yes,250,,,Data Not Available,2 - Uncertain,45260,Yes,,,Data Not Available,4117,,11,3 - Less Reliable,,Data Not Available,1 - Very Uncertain
ACC-00008585,Ashburton District Council,HAK001,Hakatere,2,,1,,Bore,,109,,Other (Please identify in the comments section),Rates - total charges/SUIDs,109,,Other (Please identify in the comments section),Same as connections,0,,Number of connections known,,0,,Other (Please identify in the comments section),Same as connections,270,,4 - Reliable,15943,,0,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,2800,,Other (Please identify in the comments section),Transferred to Ashburton wastewater treatment plant; ultimately to land,,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,290,,Yes,250,,,Data Not Available,2 - Uncertain,730,Yes,,,Data Not Available,1314,,0.6,3 - Less Reliable,,Data Not Available,1 - Very Uncertain
ACC-00008585,Ashburton District Council,HIN001,Hinds,8,,1,,Bore,,144,,Number of metered connections,Rates - total charges/SUIDs,144,,Number of connections known,Unbilled plus billed rural residential connections,21,,Number of connections known,,18,,Number of metered connections,,340,,4 - Reliable,94040,,10632,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,350,,Yes,250,,,Data Not Available,2 - Uncertain,28063,No,,26179,,3448,,7.59,4 - Reliable,533,,4 - Reliable
ACC-00008585,Ashburton District Council,MAY001,Mayfield,4,,1,,Bore,,69,,Number of metered connections,,69,,Number of connections known,,14,,Number of connections known,,14,,Other (Please identify in the comments section),Same as connections,150,,4 - Reliable,24972.4,,7569,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,330,,Yes,250,,,Data Not Available,2 - Uncertain,2408,No,,1932,,1730,,2.2,4 - Reliable,395,,4 - Reliable
ACC-00008585,Ashburton District Council,MET001,Methven,47,,1,,Infiltration gallery,,1342,,Other (Please identify in the comments section),Rates - total charges/SUIDs,1105,,Other (Please identify in the comments section),Unbilled plus billed rural residential connections,237,,Number of connections known,,237,,Number of metered connections,,2330,,4 - Reliable,1057215,,248759,,4 - Reliable,3,,5 - Highly Reliable,0,,Measure Not Applicable,,,45313,,Land,Soakage basins,,0,Measure Not Applicable,Land,Backwashed to soakage basins,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,340,,Yes,250,,,Data Not Available,2 - Uncertain,561700,No,,550900,,53470,,10.3,3 - Less Reliable,380,,4 - Reliable
ACC-00008585,Ashburton District Council,MON001,Montalto,149,,2,,River/stream/creek,,35,,Other (Please identify in the comments section),Rates - total charges/SUIDs less non-res billed,35,,Other (Please identify in the comments section),Same as connections,0,,Number of connections known,,15,,Other (Please identify in the comments section),,90,,4 - Reliable,306495,,0,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Yes,,Yes,,5 - Highly Reliable,200,,Yes,250,,,Data Not Available,2 - Uncertain,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,,Data Not Available,1 - Very Uncertain
ACC-00008585,Ashburton District Council,MTS001,Mt Somers,14,,1,,Infiltration gallery,,123,,Other (Please identify in the comments section),Rates - total charges/SUIDs less non-res billed,123,,Other (Please identify in the comments section),Same as connections,15,,Number of connections known,,15,,Other (Please identify in the comments section),Same as connections,330,,4 - Reliable,55120,,8242,,4 - Reliable,2,,5 - Highly Reliable,0,,Measure Not Applicable,,,6411,,Land,Soakage basins,,0,Measure Not Applicable,Land,Backwashed to soakage basins,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,380,,Yes,250,,,Data Not Available,2 - Uncertain,21170,Yes,,,Data Not Available,4993,,4.2,3 - Less Reliable,341,,3 - Less Reliable
ACC-00008585,Ashburton District Council,RAK001,Rakaia,16,,1,,Bore,,638,,Other (Please identify in the comments section),Rates - total charges/SUIDs,559,,Other (Please identify in the comments section),Unbilled plus billed rural residential connections,79,,Number of connections known,,79,,Number of metered connections,,1340,,4 - Reliable,266165,,33301,,4 - Reliable,1,,5 - Highly Reliable,0,,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,340,,Yes,250,,,Data Not Available,2 - Uncertain,114610,Yes,,114208,,402,,11.5,3 - Less Reliable,490,,3 - Less Reliable
