Account ID,Org Name,D-A1 Number of drinking water networks,D-A1 Reason not available,D-A1 Comments,D-A2 Number of drinking water treatment plants,D-A2 Reason not available,D-A2 Comments,D-A3 Number of reservoirs,D-A3 Reason not available,D-A3 Comments,D-A4 Number of pump stations,D-A4 Reason not available,D-A4 Comments,D-A1 to D-A4 Data confidence,D-EH5 Water imported from other suppliers (m3/year),D-EH5 Reason not available,D-EH5 Comments,D-EH6 Water exported to other suppliers (m3/year),D-EH6 Reason not available,D-EH6 Comments,D-EH5 to D-EH6 Data confidence,D-R1 Median time to attend urgent fault (hours),D-R1 Reason not available,D-R1 Comments,D-R2 Median time to attend non-urgent fault (hours),D-R2 Reason not available,D-R2 Comments,D-R3 Median time to resolve urgent fault (hours),D-R3 Reason not available,D-R3 Comments,D-R4 Median time to resolve non-urgent fault (hours),D-R4 Reason not available,D-R4 Comments,D-R1 to D-R4 Data confidence,D-R5 Number of planned interruptions,D-R5 Reason not available,D-R5 Comments,D-R6 Number of third-party incidents,D-R6 Reason not available,D-R6 Comments,D-R7 Number of unplanned interruptions,D-R7 Reason not available,D-R7 Comments,D-R8 Urban connections with unplanned interruption >8hrs,D-R8 Reason not available,D-R8 Comments,D-R5 to D-R8 Data confidence,D-R9.1 % of pipes with condition grading,D-R9.1 Reason not available,D-R9.1 Data confidence,D-R9.2 Pipe condition grading methodology,D-R9.2 Reason not available,D-R9.2 Data confidence,D-R10 % pipes in poor or very poor condition,D-R10 Reason not available,D-R10 Comments,D-R10 Data confidence,D-R12 Average age of water pipes (years),D-R12 Reason not available,D-R12 Comments,D-R12 Data confidence,D-R13.1 % above-ground assets with condition grading,D-R13.1 Reason not available,D-R13.1 Data confidence,D-R13.2 Above-ground asset grading methodology,D-R13.2 Reason not available,D-R13.2 Data confidence,D-R14 % above-ground assets in poor or very poor condition,D-R14 Reason not available,D-R14 Comments,D-R14 Data confidence,D-R19 Days when water restrictions applied (days),D-R19 Reason not available,D-R19 Comments,D-R20 % of connections affected by water restrictions,D-R20 Reason not available,D-R20 Comments,D-R19 to D-R20 Data confidence,D-R21 Adopted FENZ Code of Practice (SNZ PAS 4509:2008)?,D-R21 Reason not available,D-R21 Comments,D-R22 % of fire hydrants tested in previous 5 years,D-R22 Reason not available,D-R22 Comments,D-R21 to D-R22 Data confidence,D-RE5 Water conservation education programme in place?,D-RE5 Reason not available,D-RE5 Comments,D-RE6 Number of residential connections with water meters,D-RE6 Reason not available,D-RE6 Comments,D-RE7 Number of non-residential connections with water meters,D-RE7 Reason not available,D-RE7 Comments,D-RE8 Number of abstraction points with water meters,D-RE8 Reason not available,D-RE8 Comments,D-RE9 Abstraction meter calibration frequency (years),D-RE9 Reason not available,D-RE9 Comments,D-RE10 Number of abstraction meters on telemetry,D-RE10 Reason not available,D-RE10 Comments,D-RE11 Days with complete telemetry dataset (days),D-RE11 Reason not available,D-RE11 Comments,D-RE5 to D-RE11 Data confidence,D-RE12 Electricity use (kWh/year),D-RE12 Reason not available,D-RE12 Comments,D-RE13 Energy use from other fuels (GJ/year),D-RE13 Reason not available,D-RE13 Comments,D-RE14 Energy generated (kWh/year),D-RE14 Reason not available,D-RE14 Comments,D-RE12 to D-RE14 Data confidence,D-RE15 Recycled water to residential customers (m3/year),D-RE15 Reason not available,D-RE15 Comments,D-RE16 Recycled water to non-residential customers (m3/year),D-RE16 Reason not available,D-RE16 Comments,D-RE17 Recycled water to managed aquifer recharge (m3/year),D-RE17 Reason not available,D-RE17 Comments,D-RE18 Urban stormwater reused in network (m3/year),D-RE18 Reason not available,D-RE18 Comments,D-RE15 to D-RE18 Data confidence,D-RL1 Critical assets assessment undertaken?,D-RL1 Reason not available,D-RL1 Comments,D-RL1a Data confidence,D-RL1b Data confidence,D-RL2 Emergency response plan developed?,D-RL2 Reason not available,D-RL2 Comments,D-RL3 Business continuity plan developed?,D-RL3 Reason not available,D-RL3 Comments,D-RL4 Date emergency response plan last reviewed (dd/mm/yyyy),D-RL4 Reason not available,D-RL4 Comments,D-RL5 Date business continuity plan last reviewed (dd/mm/yyyy),D-RL5 Reason not available,D-RL5 Comments,D-RL6 Date emergency response exercise last conducted (dd/mm/yyyy),D-RL6 Reason not available,D-RL6 Comments,D-RL7 Date BCP exercise last conducted (dd/mm/yyyy),D-RL7 Reason not available,D-RL7 Comments,D-RL2 to D-RL7 Data confidence,D-RL8 Strategic plan for future water supply demand?,D-RL8 Reason not available,D-RL8 Comments,D-RL8 Data confidence,D-RL9 Days outdoor water use restricted (days),D-RL9 Reason not available,D-RL9 Comments,D-RL10 Days outdoor water use banned (days),D-RL10 Reason not available,D-RL10 Comments,D-RL11 Were other water restrictions imposed?,D-RL11 Reason not available,D-RL11 Comments,D-RL9 to D-RL11 Data confidence,D-ES1.1 Capex to meet additional demand ($),D-ES1.1 Reason not available,D-ES1.2 Capex to replace or improve existing assets ($),D-ES1.2 Reason not available,D-ES2 Total operating expenditure ($),D-ES2 Reason not available,D-ES2 Comments,D-ES1.1 to D-ES2 Data confidence,D-ES3 Forecast capex next year ($),D-ES3 Reason not available,D-ES3 Comments,D-ES4 Forecast opex next year ($),D-ES4 Reason not available,D-ES4 Comments,D-ES3 to D-ES4 Data confidence,D-ES5 Total revenue received ($),D-ES5 Reason not available,D-ES5 Comments,D-ES5 Data confidence
ACC-00008585,Ashburton District Council,10,,,13,,,57,,,2,,,,0,,,0,,,,0.59,,,22.32,,,2.45,,,32.16,,,,45,,,8,,,74,,,0,,,,100,,,Desktop assessment,,,15.08,,,,33.85,,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,365,,,1,,,,Yes,,,19,,,,Yes,,,3133,,,1864,,,19,,,10,,,15,,,182,,,,2692062,,,1716,,,,Measure Not Applicable,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Yes,,,,,Yes,,,Yes,,,12/03/2025 0:00,,,17/03/2020 0:00,,,,Data Not Available,,,Data Not Available,,,Yes,,,,365,,,0,,,Yes,,,,0,,7289000,,7289000,,,,8544000,,,5903000,,,,8965000,,,
ACC-00008580,Auckland Council,15,,,12,3 are connected to the watercare network where we just store water before network,,15,,,0,,,5 - Highly Reliable,3230000,,,0,,,5 - Highly Reliable,4,,,72,,,48,,,48,,,3 - Less Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,100,,5 - Highly Reliable,Other (Please identify in the comments section),"we have a planned CAPEX programme based on known age, risk, and reactive cost",5 - Highly Reliable,15,,,4 - Reliable,40,,,3 - Less Reliable,100,,4 - Reliable,Asset management information system,,4 - Reliable,5,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,No,Measure Not Applicable,,0,Measure Not Applicable,,5 - Highly Reliable,Yes,"This is done through our drought program, as well at Watercare Level.",,0,,,0,,,15,,,5,,,10,,,8,,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/12/2024 0:00,,,1/12/2024 0:00,,,,Data Not Available,,,Data Not Available,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,0,,,0,,,No,,,5 - Highly Reliable,0,,20000000,,10000000,,,5 - Highly Reliable,20000000,,,10000000,,,5 - Highly Reliable,0,"Auckland council/Healthy waters does not receive Revenue for their supplies, as they are regional parks",,5 - Highly Reliable
ACC-00008498,Buller District Council,7,,,4,,,6,,,1,,,5 - Highly Reliable,,Measure Not Applicable,,800,,,3 - Less Reliable,0.24,,,0.78,,,0.41,,,1.28,,,4 - Reliable,5,,,0,,,3,,,1,,,4 - Reliable,95.68,,4 - Reliable,Desktop assessment,,4 - Reliable,6.55,,,4 - Reliable,39,,,4 - Reliable,99.5,,4 - Reliable,Desktop assessment,,4 - Reliable,1,,,4 - Reliable,85,,,1,,,4 - Reliable,No,,,77,,,4 - Reliable,Yes,,,58,Data Not Available,,132,,,6,,,0,,,4,,,65,,,3 - Less Reliable,304085,,,0,Data Not Available,,0,Data Not Available,,4 - Reliable,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,0,Measure Not Applicable,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,No,,,1/05/2025 0:00,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,4 - Reliable,No,,,5 - Highly Reliable,2,,,83,,,Yes,,,4 - Reliable,,Measure Not Applicable,3080488,,5091290,,,5 - Highly Reliable,3424172,,,4585609,,,5 - Highly Reliable,4460356,,,5 - Highly Reliable
ACC-00001075,Carterton District Council,1,,,2,,,6,,,1,,,5 - Highly Reliable,154576,,,0,,,5 - Highly Reliable,2.49,,,3.83,,,2.49,,,38.94,,,5 - Highly Reliable,5,,,1,,,3,,,0,,,4 - Reliable,73,,4 - Reliable,Desktop assessment,,4 - Reliable,21,,,4 - Reliable,32,,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,4,,,4 - Reliable,0,,,0,,,4 - Reliable,No,,,100,,,4 - Reliable,Yes,,,3042,,,230,,,5,,,5,,,5,,,365,,,4 - Reliable,60458,,,0,,,0,,,5 - Highly Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,23/07/2023 0:00,,,15/07/2024 0:00,,,19/09/2019 0:00,,,19/09/2019 0:00,,,3 - Less Reliable,Yes,,,3 - Less Reliable,217,,,0,,,No,,,5 - Highly Reliable,60796,,4534750,,2025769,,,4 - Reliable,4175000,,,1983142,,,4 - Reliable,2497239,,,4 - Reliable
ACC-00001635,Central Hawke's Bay District Council,5,,,6,,,41,,,9,,,4 - Reliable,0,,,0,,,5 - Highly Reliable,0.3,,,0.8,,,1.9,,,6,,,4 - Reliable,47,,,17,,,53,,,0,,,4 - Reliable,100,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,3,,,2 - Uncertain,36,,,3 - Less Reliable,100,,1 - Very Uncertain,Desktop assessment,,5 - Highly Reliable,1,,,1 - Very Uncertain,216,,,100,,,5 - Highly Reliable,No,,,62,,,5 - Highly Reliable,Yes,,,1134,,,254,,,13,,,5,,,13,,,365,,,3 - Less Reliable,408528,,,,Data Not Available,,,Data Not Available,,3 - Less Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,4 - Reliable,,No,,,No,,,,Data Not Available,,,Data Not Available,,,,,,Data Not Available,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,216,,,0,,,Yes,,,4 - Reliable,200000,,4286592,,5314539,,,4 - Reliable,11348912,,,6067945,,,4 - Reliable,5682997,,,4 - Reliable
ACC-00008538,Central Otago District Council,8,,,8,,,75,,,12,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,3.11,,,24.72,,,20,,,23.25,,,5 - Highly Reliable,28,,,5,,,115,,,1,,,5 - Highly Reliable,100,,3 - Less Reliable,Other (Please identify in the comments section),,3 - Less Reliable,5,,,3 - Less Reliable,28,,,4 - Reliable,100,,3 - Less Reliable,Other (Please identify in the comments section),,3 - Less Reliable,2,,,3 - Less Reliable,97,,,19,,,3 - Less Reliable,No,,,20,,,3 - Less Reliable,No,,,9394,,,1496,,,14,,,5,,,9,,,365,,,3 - Less Reliable,2194860,,,0,,,0,,,3 - Less Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,Yes,,,1/09/2024 0:00,,,4/03/2025 0:00,,,17/06/2025 0:00,,,,Data Not Available,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,82,,,15,,,No,,,5 - Highly Reliable,5458903,,2554782,,3666237,,,5 - Highly Reliable,25844143,,,3938910,,,5 - Highly Reliable,29029458,,,5 - Highly Reliable
ACC-00001252,Chatham Islands Council,2,,,3,,,9,,,2,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,2,,,2,,,8,,,8,,,3 - Less Reliable,0,,,0,,,1,,,30,,,2 - Uncertain,0,,5 - Highly Reliable,Data Not Available,,5 - Highly Reliable,,Data Not Available,,1 - Very Uncertain,30,,,2 - Uncertain,0,,5 - Highly Reliable,Data Not Available,,5 - Highly Reliable,,Data Not Available,,1 - Very Uncertain,107,,,18,,,4 - Reliable,No,,,0,,,2 - Uncertain,No,,,72,,,26,,,1,,,10,,,1,,,365,,,3 - Less Reliable,1300,Data Not Available,,,Data Not Available,,,Data Not Available,,1 - Very Uncertain,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,5 - Highly Reliable,,Yes,,,No,,,19/09/2024 0:00,,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,1 - Very Uncertain,No,,,5 - Highly Reliable,0,,,0,,,Yes,,,2 - Uncertain,0,,0,,312000,,,5 - Highly Reliable,0,,,324000,,,5 - Highly Reliable,120000,,,1 - Very Uncertain
ACC-00008533,Christchurch City Council,9,,,53,,,96,,,55,,,5 - Highly Reliable,0,,,9692,,,4 - Reliable,0.75,,,9,,,2,,,13,,,5 - Highly Reliable,68,,,242,,,4957,,,8,,,5 - Highly Reliable,100,,5 - Highly Reliable,Renewals model,,5 - Highly Reliable,19.84,,,5 - Highly Reliable,50,,,5 - Highly Reliable,50,,4 - Reliable,Asset inspections,,4 - Reliable,20,,,4 - Reliable,7,,,1,,,5 - Highly Reliable,No,"Not formally adopted, however, FENZ Code of Practice compliance required by individual Private Properties as per Bylaws, District Plan, and enforced through Building Consent process.",,100,,,3 - Less Reliable,Yes,,,148305,,,10143,,,156,,,5,,,156,,,365,,,4 - Reliable,19140535,,,761,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,5 - Highly Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,12/11/2024 0:00,,,13/12/2019 0:00,,,23/08/2024 0:00,,,18/12/2015 0:00,,,4 - Reliable,Yes,,,5 - Highly Reliable,5,,,2,,,No,,,5 - Highly Reliable,3497000,,46029000,,49097000,,,5 - Highly Reliable,76120000,,,45741000,,,5 - Highly Reliable,106271000,,,5 - Highly Reliable
ACC-00008586,Clutha District Council,14,,,14,,,55,,,33,,,4 - Reliable,0,Measure Not Applicable,,0,Measure Not Applicable,,4 - Reliable,3,,,20,,,22,,,48,,,4 - Reliable,21,,,35,,,,Data Not Available,,0,,,3 - Less Reliable,43,,3 - Less Reliable,Desktop assessment,,3 - Less Reliable,5,,,3 - Less Reliable,38,,,3 - Less Reliable,92,,4 - Reliable,Desktop assessment,,3 - Less Reliable,8,,,3 - Less Reliable,149,,,100,,,4 - Reliable,No,,,,Data Not Available,,3 - Less Reliable,No,,,790,,,415,,,16,,,5,,,16,,,365,,,4 - Reliable,1242727,,,0,,,0,,,4 - Reliable,0,,,0,,,0,,,0,,,4 - Reliable,Yes,,,3 - Less Reliable,,Yes,,,No,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,,Data Not Available,,3 - Less Reliable,Yes,,,3 - Less Reliable,149,,,0,,,Yes,,,4 - Reliable,0,Data Not Available,11581000,,11616000,,,4 - Reliable,6511000,,,15684000,,,4 - Reliable,11399000,,,4 - Reliable
ACC-00006269,Department of Corrections,3,,,5,,,11,,,4,,,5 - Highly Reliable,0,,,0,,,5 - Highly Reliable,1,,,48,,,24,,,120,,,2 - Uncertain,3,,,0,,,1,,,0,,,4 - Reliable,100,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,5,,,2 - Uncertain,59,,,1 - Very Uncertain,100,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,12,,,2 - Uncertain,0,,,0,,,4 - Reliable,Yes,,,100,,,3 - Less Reliable,No,,,,Measure Not Applicable,,,Measure Not Applicable,,6,,,5,,,6,,,365,,,3 - Less Reliable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,5 - Highly Reliable,0,,,0,,,0,,,0,,,3 - Less Reliable,Yes,,,4 - Reliable,,Yes,,,Yes,,,1/08/2025 0:00,,,30/06/2025 0:00,,,30/09/2024 0:00,,,19/04/2024 0:00,,,4 - Reliable,Yes,,,4 - Reliable,0,,,0,,,No,,,4 - Reliable,0,,20000000,,,Data Not Available,,3 - Less Reliable,15000000,,,,Data Not Available,,3 - Less Reliable,,Measure Not Applicable,,5 - Highly Reliable
