Field,Page,Description
Account ID,DW Organisations,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,DW Organisations,Registered name of the reporting organisation.
D-A1 Number of drinking water networks,DW Organisations,Total number of drinking water networks operated by the organisation.
D-A1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-A1 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-A2 Number of drinking water treatment plants,DW Organisations,Total number of drinking water treatment plants operated by the organisation.
D-A2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-A2 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-A3 Number of reservoirs,DW Organisations,Total number of reservoirs operated by the organisation.
D-A3 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-A3 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-A4 Number of pump stations,DW Organisations,Total number of drinking water pump stations operated by the organisation.
D-A4 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-A4 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-A1 to D-A4 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-EH5 Water imported from other suppliers (m3/year),DW Organisations,Annual volume of drinking water imported from other suppliers.
D-EH5 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-EH5 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-EH6 Water exported to other suppliers (m3/year),DW Organisations,Annual volume of drinking water exported to other suppliers.
D-EH6 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-EH6 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-EH5 to D-EH6 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-R1 Median time to attend urgent fault (hours),DW Organisations,Median time taken to attend urgent drinking water faults.
D-R1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R1 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R2 Median time to attend non-urgent fault (hours),DW Organisations,Median time taken to attend non-urgent drinking water faults.
D-R2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R2 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R3 Median time to resolve urgent fault (hours),DW Organisations,Median time taken to resolve urgent drinking water faults.
D-R3 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R3 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R4 Median time to resolve non-urgent fault (hours),DW Organisations,Median time taken to resolve non-urgent drinking water faults.
D-R4 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R4 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R1 to D-R4 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-R5 Number of planned interruptions,DW Organisations,Number of planned drinking water supply interruptions.
D-R5 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R5 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R6 Number of third-party incidents,DW Organisations,Number of third-party incidents affecting drinking water supply.
D-R6 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R6 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R7 Number of unplanned interruptions,DW Organisations,Number of unplanned drinking water supply interruptions.
D-R7 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R7 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R8 Urban connections with unplanned interruption >8hrs,DW Organisations,Number of urban connections affected by unplanned interruptions longer than 8 hours.
D-R8 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R8 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R5 to D-R8 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-R9.1 % of pipes with condition grading,DW Organisations,Percentage of drinking water pipes with condition grading.
D-R9.1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R9.1 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R9.2 Pipe condition grading methodology,DW Organisations,Methodology used to grade drinking water pipe condition.
D-R9.2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R9.2 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R10 % pipes in poor or very poor condition,DW Organisations,Percentage of drinking water pipes in poor or very poor condition.
D-R10 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R10 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R10 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R12 Average age of water pipes (years),DW Organisations,Average age of drinking water pipes in years.
D-R12 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R12 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R12 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R13.1 % above-ground assets with condition grading,DW Organisations,Percentage of above-ground drinking water assets with condition grading.
D-R13.1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R13.1 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R13.2 Above-ground asset grading methodology,DW Organisations,Methodology used to grade above-ground drinking water assets.
D-R13.2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R13.2 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R14 % above-ground assets in poor or very poor condition,DW Organisations,Percentage of above-ground drinking water assets in poor or very poor condition.
D-R14 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R14 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R14 Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-R19 Days when water restrictions applied (days),DW Organisations,Number of days when water restrictions were applied.
D-R19 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R19 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R20 % of connections affected by water restrictions,DW Organisations,Percentage of connections affected by water restrictions.
D-R20 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R20 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R19 to D-R20 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-R21 Adopted FENZ Code of Practice (SNZ PAS 4509:2008)?,DW Organisations,Indicates whether the FENZ Code of Practice has been adopted.
D-R21 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R21 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R22 % of fire hydrants tested in previous 5 years,DW Organisations,Percentage of fire hydrants tested in the previous five years.
D-R22 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-R22 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-R21 to D-R22 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-RE5 Water conservation education programme in place?,DW Organisations,Indicates whether a water conservation education programme is in place.
D-RE5 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE5 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE6 Number of residential connections with water meters,DW Organisations,Number of residential connections with water meters.
D-RE6 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE6 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE7 Number of non-residential connections with water meters,DW Organisations,Number of non-residential connections with water meters.
D-RE7 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE7 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE8 Number of abstraction points with water meters,DW Organisations,Number of abstraction points with water meters.
D-RE8 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE8 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE9 Abstraction meter calibration frequency (years),DW Organisations,Frequency of abstraction meter calibration in years.
D-RE9 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE9 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE10 Number of abstraction meters on telemetry,DW Organisations,Number of abstraction meters connected to telemetry.
D-RE10 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE10 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE11 Days with complete telemetry dataset (days),DW Organisations,Number of days with a complete abstraction telemetry dataset.
D-RE11 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE11 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE5 to D-RE11 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-RE12 Electricity use (kWh/year),DW Organisations,Annual electricity use for drinking water services.
D-RE12 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE12 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE13 Energy use from other fuels (GJ/year),DW Organisations,Annual energy use from non-electric fuels.
D-RE13 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE13 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE14 Energy generated (kWh/year),DW Organisations,Annual energy generated from drinking water assets.
D-RE14 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE14 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE12 to D-RE14 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-RE15 Recycled water to residential customers (m3/year),DW Organisations,Annual volume of recycled water supplied to residential customers.
D-RE15 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE15 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE16 Recycled water to non-residential customers (m3/year),DW Organisations,Annual volume of recycled water supplied to non-residential customers.
D-RE16 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE16 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE17 Recycled water to managed aquifer recharge (m3/year),DW Organisations,Annual volume of recycled water supplied to managed aquifer recharge.
D-RE17 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE17 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE18 Urban stormwater reused in network (m3/year),DW Organisations,Annual volume of urban stormwater reused in the network.
D-RE18 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RE18 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RE15 to D-RE18 Data confidence,DW Organisations,Provider-assessed confidence level for these data points.
D-RL1 Critical assets assessment undertaken?,DW Organisations,Indicates whether a critical assets assessment has been undertaken.
D-RL1 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL1 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL1a Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-RL1b Data confidence,DW Organisations,Provider-assessed confidence level for this data point.
D-RL2 Emergency response plan developed?,DW Organisations,Indicates whether an emergency response plan has been developed.
D-RL2 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
D-RL2 Comments,DW Organisations,Additional explanatory comments provided by the organisation.
D-RL3 Business continuity plan developed?,DW Organisations,Indicates whether a business continuity plan has been developed.
D-RL3 Reason not available,DW Organisations,Shows any reasons why this data point is not available.
