Account ID,Org Name,Network ID,W-EH5 Type of resource consent,W-EH5 Comments,W-EH6 Resource consent reference number,W-EH7 Resource consent expiry date,W-EH7 Comments,W-EH7 Currently operating under this consent?,W-EH8 Consent status,W-EH8 Comments,W-EH5 to W-EH8 Data confidence
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC030474,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC030999.1,2039-06-13 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC031000.1,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC031001.1,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC031002,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to air,,CRC031003,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Other (Please identify in the comments section),Divert surface water,CRC031005,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to water,,CRC031006,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Land-use consent,,CRC031007,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to air,,CRC031148,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC093639,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Discharge to land,,CRC100990,2044-09-28 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Other (Please identify in the comments section),Take Groundwater,CRC200198,2039-06-03 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00100,Land-use consent,,CRC201574,2033-05-02 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00101,Discharge to land,,CRC991241,2034-09-08 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00102,Discharge to air,,CRC244473,2029-07-29 00:00:00,,Yes,Active,,5 - Highly Reliable
ACC-00008585,Ashburton District Council,WWN-00102,Land-use consent,,CRC244933,2029-07-29 00:00:00,,Yes,Active,,5 - Highly Reliable
